
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-07-25 15:44:04 / .. ~ 9s
 2026-07-25 15:47:31 /api/audit-events .. ~ 3s
 2026-07-25 15:47:40 /api/audit-events .. ~ 511.55ms
 2026-07-25 15:47:40 /api/audit-events .. ~ 512.23ms
 2026-07-25 15:47:41 /api/audit-events .. ~ 501.41ms
 2026-07-25 15:47:42 /api/audit-events .. ~ 510.90ms
 2026-07-25 15:47:43 /api/audit-events .. ~ 509.74ms
 2026-07-25 15:47:43 /api/audit-events .. ~ 509.68ms
 2026-07-25 15:47:45 /api/audit-events .. ~ 516.54ms
 2026-07-25 15:47:45 /api/audit-events .. ~ 0.98ms
 2026-07-25 15:47:47 /api/audit-events .. ~ 513.35ms
 2026-07-25 15:47:49 /api/audit-events .. ~ 514.72ms
 PHP Fatal error: Maximum execution time of 30 seconds exceeded in C:\Users\User001\Downloads\tcc-unifast\backend\vendor\laravel\framework\src\Illuminate\Database\Query\Processors\MySqlProcessor.php on line 7
 PHP Fatal error: Maximum execution time of 30 seconds exceeded in C:\Users\User001\Downloads\tcc-unifast\backend\vendor\composer\ClassLoader.php on line 429
 2026-07-25 21:54:43 /api/audit-events .. ~ 32s
 2026-07-25 21:54:36 .. ~ 4m 40s
 2026-07-25 22:14:15 /api/audit-events .. ~ 4s
 2026-07-25 22:39:58 /api/audit-events .. ~ 1s
 2026-07-25 22:45:02 /api/audit-events .. ~ 1s
 2026-07-25 22:45:03 /api/audit-events .. ~ 511.33ms
 2026-07-25 22:45:04 /api/audit-events .. ~ 516.40ms
 2026-07-25 22:45:04 /api/audit-events .. ~ 511.18ms
 2026-07-25 22:45:06 /api/audit-events .. ~ 501.66ms
 2026-07-25 22:45:06 /api/audit-events .. ~ 503.72ms
 2026-07-25 22:45:08 /api/audit-events .. ~ 514.49ms
 2026-07-25 22:45:08 /api/audit-events .. ~ 0.45ms
 2026-07-25 22:45:10 /api/audit-events .. ~ 517.20ms
 2026-07-25 22:45:11 /api/audit-events .. ~ 0.99ms
 2026-07-25 22:45:15 /api/audit-events .. ~ 0.88ms
 2026-07-25 22:45:15 /api/audit-events .. ~ 514.60ms
 2026-07-25 22:45:23 /api/audit-events .. ~ 1.31ms
 2026-07-25 22:53:16 /api/audit-events .. ~ 1s
 2026-07-25 22:53:17 /api/audit-events .. ~ 0.42ms
 2026-07-25 22:53:18 /api/audit-events .. ~ 503.77ms
 2026-07-25 22:53:19 /api/audit-events .. ~ 512.61ms
 2026-07-25 22:53:20 /api/audit-events .. ~ 1s
 2026-07-25 22:53:21 /api/audit-events .. ~ 0.97ms
 2026-07-25 22:53:25 /api/audit-events .. ~ 502.14ms
 2026-07-25 22:53:29 /api/audit-events .. ~ 513.35ms
 2026-07-25 23:03:37 /api/audit-events .. ~ 2s
 2026-07-25 23:03:39 /api/audit-events .. ~ 512.68ms
 2026-07-25 23:03:43 /api/audit-events .. ~ 513.34ms
 2026-07-25 23:06:19 /api/audit-events .. ~ 1s
 2026-07-25 23:06:22 /api/audit-events .. ~ 1.04ms
 2026-07-25 23:06:23 /api/audit-events .. ~ 515.45ms
 2026-07-25 23:12:31 /api/audit-events .. ~ 3s
 2026-07-25 23:12:51 /api/audit-events .. ~ 1s
 2026-07-25 23:12:56 /api/audit-events .. ~ 514.96ms
 2026-07-25 23:14:17 /api/audit-events .. ~ 506.94ms
 2026-07-25 23:14:17 /api/audit-events .. ~ 513.58ms
 2026-07-25 23:14:18 /api/audit-events .. ~ 501.52ms
 2026-07-25 23:14:19 /api/audit-events .. ~ 0.50ms
 2026-07-25 23:14:20 /api/audit-events .. ~ 508.60ms
 2026-07-25 23:14:20 /api/audit-events .. ~ 517.24ms
 2026-07-25 23:14:25 /api/audit-events .. ~ 1.08ms
 2026-07-25 23:14:41 /api/audit-events .. ~ 500.79ms
 2026-07-25 23:14:41 /api/audit-events .. ~ 514.52ms
 2026-07-25 23:14:45 /api/audit-events .. ~ 515.47ms
 2026-07-25 23:14:48 /api/audit-events .. ~ 502.41ms
 2026-07-25 23:14:58 /api/audit-events .. ~ 502.83ms
 2026-07-25 23:15:00 /api/audit-events .. ~ 1.58ms
 2026-07-25 23:15:01 /api/audit-events .. ~ 504.14ms
 2026-07-25 23:15:12 /api/audit-events .. ~ 507.78ms
 2026-07-25 23:15:12 /api/audit-events .. ~ 514.89ms
 2026-07-25 23:15:13 /api/audit-events .. ~ 513.99ms
 2026-07-25 23:15:14 /api/audit-events .. ~ 0.93ms
 2026-07-25 23:15:23 /api/audit-events .. ~ 514.27ms
 2026-07-25 23:15:23 /api/audit-events .. ~ 508.98ms
 2026-07-25 23:16:07 /api/audit-events .. ~ 511.25ms
 2026-07-25 23:16:07 /api/audit-events .. ~ 513.27ms
 2026-07-25 23:16:16 /api/audit-events .. ~ 505.95ms
 2026-07-25 23:16:19 /api/audit-events .. ~ 1.14ms
 2026-07-25 23:16:22 /api/audit-events .. ~ 515.19ms
 2026-07-25 23:16:23 /api/audit-events .. ~ 514.75ms
 2026-07-25 23:16:25 /api/audit-events .. ~ 514.33ms
 2026-07-25 23:16:26 /api/audit-events .. ~ 511.54ms
 2026-07-25 23:16:31 /api/audit-events .. ~ 0.76ms
 2026-07-25 23:16:48 /api/audit-events .. ~ 507.51ms
 2026-07-25 23:16:57 /api/audit-events .. ~ 513.56ms
 2026-07-25 23:16:59 /api/audit-events .. ~ 540.11ms
 2026-07-25 23:17:06 /api/audit-events .. ~ 515.37ms
 2026-07-25 23:17:12 /api/audit-events .. ~ 511.64ms
 2026-07-25 23:17:12 /api/audit-events .. ~ 0.48ms
 2026-07-25 23:17:22 /api/audit-events .. ~ 501.68ms
 2026-07-25 23:17:24 /api/audit-events .. ~ 511.81ms
 2026-07-25 23:17:28 /api/audit-events .. ~ 503.47ms
 2026-07-25 23:17:29 /api/audit-events .. ~ 0.65ms
 2026-07-25 23:17:49 /api/audit-events .. ~ 501.24ms
 2026-07-25 23:17:51 /api/audit-events .. ~ 515.67ms
 2026-07-25 23:18:16 /api/audit-events .. ~ 3s
 2026-07-25 23:28:51 /api/audit-events .. ~ 1s
 2026-07-25 23:28:52 /api/audit-events .. ~ 515.46ms
 2026-07-25 23:31:07 /api/audit-events .. ~ 1s
 2026-07-25 23:32:24 /api/audit-events .. ~ 504.10ms
 2026-07-25 23:32:26 /api/audit-events .. ~ 512.21ms
 2026-07-25 23:32:33 /api/audit-events .. ~ 501.01ms
 2026-07-25 23:33:16 /api/audit-events .. ~ 502.11ms
 2026-07-25 23:33:19 /api/audit-events .. ~ 501.33ms
 2026-07-25 23:35:07 /api/audit-events .. ~ 515.73ms
 2026-07-25 23:35:08 /api/audit-events .. ~ 501.44ms
 2026-07-25 23:35:11 /api/audit-events .. ~ 1s
 2026-07-25 23:35:23 /api/audit-events .. ~ 514.86ms
 2026-07-25 23:35:24 /api/audit-events .. ~ 527.92ms
 2026-07-25 23:35:25 /api/audit-events .. ~ 513.23ms
 2026-07-25 23:35:25 /api/audit-events .. ~ 513.39ms
 2026-07-25 23:35:28 /api/audit-events .. ~ 1s
 2026-07-25 23:35:28 /api/audit-events .. ~ 0.48ms
 2026-07-25 23:35:35 /api/audit-events .. ~ 511.42ms
 2026-07-25 23:35:36 /api/audit-events .. ~ 509.77ms
 2026-07-25 23:36:38 /api/audit-events .. ~ 514.30ms
 2026-07-25 23:36:39 /api/audit-events .. ~ 504.04ms
 2026-07-25 23:36:42 /api/audit-events .. ~ 512.69ms
 2026-07-25 23:36:49 /api/audit-events .. ~ 502.83ms
 2026-07-25 23:36:50 /api/student/requirement-vault .. ~ 1s
 2026-07-25 23:37:00 /api/audit-events .. ~ 514.14ms
 2026-07-25 23:37:01 /api/audit-events .. ~ 503.36ms
 2026-07-25 23:37:06 /api/audit-events .. ~ 514.24ms
 2026-07-25 23:37:07 /api/audit-events .. ~ 502.44ms
 2026-07-25 23:37:08 /api/audit-events .. ~ 0.77ms
 2026-07-25 23:37:14 /api/audit-events .. ~ 516.30ms
 2026-07-25 23:37:14 /api/audit-events .. ~ 504.43ms
 2026-07-25 23:37:14 /api/student/requirement-vault .. ~ 1s
 2026-07-25 23:37:18 /api/audit-events .. ~ 501.91ms
 2026-07-25 23:37:18 /api/audit-events .. ~ 507.08ms
 2026-07-25 23:37:25 /api/audit-events .. ~ 514.88ms
 2026-07-25 23:37:26 /api/audit-events .. ~ 512.45ms
 2026-07-25 23:37:34 /api/audit-events .. ~ 512.12ms
 2026-07-25 23:37:38 /api/audit-events .. ~ 513.58ms
 2026-07-25 23:37:39 /api/audit-events .. ~ 506.56ms
 PHP Fatal error: Maximum execution time of 30 seconds exceeded in C:\Users\User001\Downloads\tcc-unifast\backend\routes\web.php on line 5
 2026-07-26 13:38:12 /api/audit-events .. ~ 36s
 2026-07-26 13:38:48 /api/audit-events .. ~ 4s
 2026-07-26 13:38:48 /api/audit-events .. ~ 4s
 2026-07-26 13:38:52 /api/audit-events .. ~ 510.05ms
 2026-07-26 13:38:53 /api/audit-events .. ~ 507.43ms
 2026-07-26 13:38:53 /api/audit-events .. ~ 3s
 2026-07-26 13:38:53 /api/audit-events .. ~ 3s
 2026-07-26 13:38:56 /api/audit-events .. ~ 1s
 2026-07-26 13:38:56 /api/audit-events .. ~ 1s
 2026-07-26 13:38:57 /api/audit-events .. ~ 1s
 2026-07-26 13:39:37 /api/audit-events .. ~ 1s
 2026-07-26 13:39:43 /api/audit-events .. ~ 527.21ms
 2026-07-26 13:42:43 /api/audit-events .. ~ 10s
 2026-07-26 13:42:54 /api/audit-events .. ~ 1s
 2026-07-26 13:42:54 /api/audit-events .. ~ 1s
 2026-07-26 14:04:39 /api/audit-events .. ~ 2s
 2026-07-26 14:04:43 /api/audit-events .. ~ 511.91ms
 2026-07-26 14:04:47 /api/audit-events .. ~ 1s
 2026-07-26 14:10:52 /api/audit-events .. ~ 2s
 2026-07-26 14:10:57 /api/audit-events .. ~ 1s
